Taxon,ORDER,GROUP,BrainVolume,OrbitDiameter,GeoMeanLinearVars,Convergence,Frontition,Verticality,OrbitotemporalAngle,PostorbitalGap,Activity.Pattern,Noccode,Catcode,Dicode,ActCode,Diet,Fauncode,Omnicode,Varicode,NonFcode,Dietcode,Substrate,Arbcode,Tercode,Aercode,SubCode
Hylobates_agilis,Primates,Anthropoidea,47.8,23.6,34.4,80.7,80.4,93.5,106.8,1,diurnal,0,0,1,4,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Hylobates_hoolock,Primates,Anthropoidea,53,23.3,39.8,75.1,75.4,94.2,109.6,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Hylobates_lar,Primates,Anthropoidea,50.4,22.2,36.8,79.8,78,94.9,106.1,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Hylobates_moloch,Primates,Anthropoidea,48.4,22.2,33.8,73.9,80.1,93.1,111.9,1,diurnal,0,0,1,4,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Hylochoerus_meinertzhageni,Artiodactyla,Suiformes,63.8,44.5,82.1,30,33.2,64.7,157.3,0.5,cathemeral,0,1,0,2,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Hylopetes_alboniger,Rodentia,Pteromyinae,19.2,13.2,17.1,35,49.8,49.8,148.7,0.3,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,aerial,0,0,1,2
Hypsignathus_monstrosus,Chiroptera,Mega (P),16.5,14.2,17.7,40.8,39.7,54,148,0.3,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Ichneumia_albicauda,Carnivora,Feliformia,32.02,20.8,30.52,42.64,51.96,68.62,142.4,0.82,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Indri_indri,Primates,Strepsirrhini,36.2,24.1,33.1,61.7,73.6,75.1,111,1,diurnal,0,0,1,3,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Lagothrix_flavicauda,Primates,Anthropoidea,45.1,22.5,33.5,90.2,70.6,89.2,99.6,1,diurnal,0,0,1,4,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Lagothrix_lagotricha,Primates,Anthropoidea,48.3,22.1,33.6,78.5,68.9,89.7,111.7,1,diurnal,0,0,1,4,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Lemur_catta,Primates,Strepsirrhini,31.3,18.1,26.7,60.5,65.7,65,118.8,1,diurnal,0,0,1,3,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Leontopithecus_rosalia,Primates,Anthropoidea,23.9,11.7,18.2,69.1,90.4,96.5,96.6,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
